neighborhood,sale_price_sqr_foot
Alamo Square,366.02071153227644
Anza Vista,373.382197826477
Bayview,204.58862288246596
Bayview Heights,590.7928388746803
Bernal Heights ,576.7464881132382
Buena Vista Park,452.6805909308441
Central Richmond,394.42239878005887
Central Sunset,423.68792770158234
Clarendon Heights,487.2448860262576
Corona Heights,587.5390673661739
Cow Hollow,665.9640415783227
Croker Amazon,303.0041844084943
Diamond Heights,434.9917394452212
Downtown ,391.43437776742576
Duboce Triangle,502.59915555623616
Eureka Valley/Dolores Heights,642.2486706357391
Excelsior,388.7659270023075
Financial District North,391.36253308010487
Financial District South,455.83621223779153
Forest Knolls,321.84083657398736
Glen Park,623.8261775374349
Golden Gate Heights,639.3935574881156
Haight Ashbury,449.5447622856192
Hayes Valley,355.93282794805776
Hunters Point,170.62491987132685
Ingleside ,367.8951440852775
Ingleside Heights,384.7979281346047
Inner Mission,397.67371473613446
Inner Parkside,519.3856038526768
Inner Richmond,378.5943139613646
Inner Sunset,413.66751546215943
Jordan Park/Laurel Heights,529.3841850673389
Lake --The Presidio,409.95435219297514
Lone Mountain,478.2285530213679
Lower Pacific Heights,539.237968878326
Marina,583.7492694814548
Merced Heights,788.8448175872469
Midtown Terrace,550.5103482917151
Miraloma Park,779.810842264425
Mission Bay,566.1922135483312
Mission Dolores,418.9156225067234
Mission Terrace,523.4662013248023
Nob Hill,458.2040944846015
Noe Valley,542.4429128151736
North Beach,411.646875881678
North Waterfront,498.2697550078768
Oceanview,330.0973846552545
Outer Mission,242.37095202049665
Outer Parkside,485.0270126111035
Outer Richmond ,473.90077331796317
Outer Sunset,394.21903228550775
Pacific Heights,689.5558168113664
Park North,373.73285637176303
Parkside,336.172661037069
Parnassus/Ashbury Heights,632.740453508577
Portola,327.1139253464728
Potrero Hill,662.0136128276529
Presidio Heights,675.3502120510033
Russian Hill,608.9832172374425
Silver Terrace,170.2925485152069
South Beach,650.1244791945729
South of Market,570.2714266991686
Sunnyside,528.3183317138463
Telegraph Hill,676.5065775293257
Twin Peaks,469.39862649935156
Union Square District,903.9932576720645
Van Ness/ Civic Center,404.1501801622257
Visitacion Valley,301.46617997450267
West Portal,498.4884848295011
Western Addition,307.5622009799607
Westwood Highlands,533.7039354359513
Westwood Park,687.0875745178322
Yerba Buena,576.709848378276
